series_id,season,split,regional,stage,round,match_date,match_id,game_number,best_of,team,player_name,unique_id,source_file
0173ec39042ad1c136877248f4687e80,2021-22,Spring,Regional Event 3,Double Elim,LQF,2022-06-04,20220604-223908-2021-22-Spring-Regional Event 3-Double Elim-LQF-G4,4,5,DNMK ESPORTS,D3Funct,SSA-P-10013,2021-22 Season Database - 21-22 Fall Split Regionals 1-3.csv
0173ec39042ad1c136877248f4687e80,2021-22,Spring,Regional Event 3,Double Elim,LQF,2022-06-04,20220604-223908-2021-22-Spring-Regional Event 3-Double Elim-LQF-G4,4,5,DNMK ESPORTS,Wee_Casper,SSA-P-10060,2021-22 Season Database - 21-22 Fall Split Regionals 1-3.csv
0173ec39042ad1c136877248f4687e80,2021-22,Spring,Regional Event 3,Double Elim,LQF,2022-06-04,20220604-223908-2021-22-Spring-Regional Event 3-Double Elim-LQF-G4,4,5,DNMK ESPORTS,YoPeGo!,SSA-P-10064,2021-22 Season Database - 21-22 Fall Split Regionals 1-3.csv
082a2a17e77b43681bae2f2919602cd0,2021-22,Spring,Regional Event 3,Double Elim,LQF,2022-06-04,20220604-211029-2021-22-Spring-Regional Event 3-Double Elim-LQF-G1,1,7,DIGITAL DEVILS,Auriginal,SSA-P-10003,2021-22 Season Database - 21-22 Fall Split Regionals 1-3.csv
082a2a17e77b43681bae2f2919602cd0,2021-22,Spring,Regional Event 3,Double Elim,LQF,2022-06-04,20220604-211029-2021-22-Spring-Regional Event 3-Double Elim-LQF-G1,1,7,DIGITAL DEVILS,EliakimZA,SSA-P-10019,2021-22 Season Database - 21-22 Fall Split Regionals 1-3.csv
082a2a17e77b43681bae2f2919602cd0,2021-22,Spring,Regional Event 3,Double Elim,LQF,2022-06-04,20220604-211029-2021-22-Spring-Regional Event 3-Double Elim-LQF-G1,1,7,DIGITAL DEVILS,Zero,SSA-P-10066,2021-22 Season Database - 21-22 Fall Split Regionals 1-3.csv
082a2a17e77b43681bae2f2919602cd0,2021-22,Spring,Regional Event 3,Double Elim,LQF,2022-06-04,20220604-211029-2021-22-Spring-Regional Event 3-Double Elim-LQF-G1,1,5,NIBBLE ESPORTS,li0n,SSA-P-10035,2021-22 Season Database - 21-22 Fall Split Regionals 1-3.csv
082a2a17e77b43681bae2f2919602cd0,2021-22,Spring,Regional Event 3,Double Elim,LQF,2022-06-04,20220604-211029-2021-22-Spring-Regional Event 3-Double Elim-LQF-G1,1,5,NIBBLE ESPORTS,Mr.Low,SSA-P-10039,2021-22 Season Database - 21-22 Fall Split Regionals 1-3.csv
082a2a17e77b43681bae2f2919602cd0,2021-22,Spring,Regional Event 3,Double Elim,LQF,2022-06-04,20220604-211029-2021-22-Spring-Regional Event 3-Double Elim-LQF-G1,1,5,NIBBLE ESPORTS,RisenEclipse,SSA-P-10046,2021-22 Season Database - 21-22 Fall Split Regionals 1-3.csv
082a2a17e77b43681bae2f2919602cd0,2021-22,Spring,Regional Event 3,Double Elim,LQF,2022-06-04,20220604-211820-2021-22-Spring-Regional Event 3-Double Elim-LQF-G2,2,7,DIGITAL DEVILS,Auriginal,SSA-P-10003,2021-22 Season Database - 21-22 Fall Split Regionals 1-3.csv
082a2a17e77b43681bae2f2919602cd0,2021-22,Spring,Regional Event 3,Double Elim,LQF,2022-06-04,20220604-211820-2021-22-Spring-Regional Event 3-Double Elim-LQF-G2,2,7,DIGITAL DEVILS,EliakimZA,SSA-P-10019,2021-22 Season Database - 21-22 Fall Split Regionals 1-3.csv
082a2a17e77b43681bae2f2919602cd0,2021-22,Spring,Regional Event 3,Double Elim,LQF,2022-06-04,20220604-211820-2021-22-Spring-Regional Event 3-Double Elim-LQF-G2,2,7,DIGITAL DEVILS,Zero,SSA-P-10066,2021-22 Season Database - 21-22 Fall Split Regionals 1-3.csv
082a2a17e77b43681bae2f2919602cd0,2021-22,Spring,Regional Event 3,Double Elim,LQF,2022-06-04,20220604-211820-2021-22-Spring-Regional Event 3-Double Elim-LQF-G2,2,5,NIBBLE ESPORTS,li0n,SSA-P-10035,2021-22 Season Database - 21-22 Fall Split Regionals 1-3.csv
082a2a17e77b43681bae2f2919602cd0,2021-22,Spring,Regional Event 3,Double Elim,LQF,2022-06-04,20220604-211820-2021-22-Spring-Regional Event 3-Double Elim-LQF-G2,2,5,NIBBLE ESPORTS,Mr.Low,SSA-P-10039,2021-22 Season Database - 21-22 Fall Split Regionals 1-3.csv
082a2a17e77b43681bae2f2919602cd0,2021-22,Spring,Regional Event 3,Double Elim,LQF,2022-06-04,20220604-211820-2021-22-Spring-Regional Event 3-Double Elim-LQF-G2,2,5,NIBBLE ESPORTS,RisenEclipse,SSA-P-10046,2021-22 Season Database - 21-22 Fall Split Regionals 1-3.csv
082a2a17e77b43681bae2f2919602cd0,2021-22,Spring,Regional Event 3,Double Elim,LQF,2022-06-04,20220604-213035-2021-22-Spring-Regional Event 3-Double Elim-LQF-G3,3,7,DIGITAL DEVILS,Auriginal,SSA-P-10003,2021-22 Season Database - 21-22 Fall Split Regionals 1-3.csv
082a2a17e77b43681bae2f2919602cd0,2021-22,Spring,Regional Event 3,Double Elim,LQF,2022-06-04,20220604-213035-2021-22-Spring-Regional Event 3-Double Elim-LQF-G3,3,7,DIGITAL DEVILS,EliakimZA,SSA-P-10019,2021-22 Season Database - 21-22 Fall Split Regionals 1-3.csv
082a2a17e77b43681bae2f2919602cd0,2021-22,Spring,Regional Event 3,Double Elim,LQF,2022-06-04,20220604-213035-2021-22-Spring-Regional Event 3-Double Elim-LQF-G3,3,7,DIGITAL DEVILS,Zero,SSA-P-10066,2021-22 Season Database - 21-22 Fall Split Regionals 1-3.csv
082a2a17e77b43681bae2f2919602cd0,2021-22,Spring,Regional Event 3,Double Elim,LQF,2022-06-04,20220604-213035-2021-22-Spring-Regional Event 3-Double Elim-LQF-G3,3,5,NIBBLE ESPORTS,li0n,SSA-P-10035,2021-22 Season Database - 21-22 Fall Split Regionals 1-3.csv
082a2a17e77b43681bae2f2919602cd0,2021-22,Spring,Regional Event 3,Double Elim,LQF,2022-06-04,20220604-213035-2021-22-Spring-Regional Event 3-Double Elim-LQF-G3,3,5,NIBBLE ESPORTS,Mr.Low,SSA-P-10039,2021-22 Season Database - 21-22 Fall Split Regionals 1-3.csv
082a2a17e77b43681bae2f2919602cd0,2021-22,Spring,Regional Event 3,Double Elim,LQF,2022-06-04,20220604-213035-2021-22-Spring-Regional Event 3-Double Elim-LQF-G3,3,5,NIBBLE ESPORTS,RisenEclipse,SSA-P-10046,2021-22 Season Database - 21-22 Fall Split Regionals 1-3.csv
