series_id,match_id,game_number,season,split,regional,stage,round,team,player_name,unique_id,best_of,source_file
243e0170bc9e0b9134434959063cfbbd,20251128-172541-2026-Boston Major-Open 1-GSL-UQF-G1,1,2026,Boston Major,Open 1,GSL,UQF,ASTRONIC ESPORTS,onizumaa,SSA-P-10246,5,2026 Season Database - 2026 Boston Major.csv
243e0170bc9e0b9134434959063cfbbd,20251128-172541-2026-Boston Major-Open 1-GSL-UQF-G1,1,2026,Boston Major,Open 1,GSL,UQF,ASTRONIC ESPORTS,skillsteal,SSA-P-10053,5,2026 Season Database - 2026 Boston Major.csv
243e0170bc9e0b9134434959063cfbbd,20251128-172541-2026-Boston Major-Open 1-GSL-UQF-G1,1,2026,Boston Major,Open 1,GSL,UQF,COSMICO ESPORTS,Jeff,SSA-P-10091,5,2026 Season Database - 2026 Boston Major.csv
243e0170bc9e0b9134434959063cfbbd,20251128-172541-2026-Boston Major-Open 1-GSL-UQF-G1,1,2026,Boston Major,Open 1,GSL,UQF,COSMICO ESPORTS,ravi��li.,SSA-P-10226,5,2026 Season Database - 2026 Boston Major.csv
243e0170bc9e0b9134434959063cfbbd,20251128-172541-2026-Boston Major-Open 1-GSL-UQF-G1,1,2026,Boston Major,Open 1,GSL,UQF,COSMICO ESPORTS,Stake,SSA-P-10279,5,2026 Season Database - 2026 Boston Major.csv
268782dada05553328229910c794dd98,20250117-152652-2025-Birmingham Major-Open 1-GSL-UQF-G2,2,2025,Birmingham Major,Open 1,GSL,UQF,2 1S MAINS 1 HALDEN,Calzafy,SSA-P-10209,5,2025 Season Database - 2025 Birmingham Major.csv
268782dada05553328229910c794dd98,20250117-152652-2025-Birmingham Major-Open 1-GSL-UQF-G2,2,2025,Birmingham Major,Open 1,GSL,UQF,2 1S MAINS 1 HALDEN,Halden,SSA-P-10214,5,2025 Season Database - 2025 Birmingham Major.csv
268782dada05553328229910c794dd98,20250117-152652-2025-Birmingham Major-Open 1-GSL-UQF-G2,2,2025,Birmingham Major,Open 1,GSL,UQF,2 1S MAINS 1 HALDEN,Khiernan,SSA-P-10218,5,2025 Season Database - 2025 Birmingham Major.csv
268782dada05553328229910c794dd98,20250117-152652-2025-Birmingham Major-Open 1-GSL-UQF-G2,2,2025,Birmingham Major,Open 1,GSL,UQF,MAESTROS DEL ESFERICO,Leoro,SSA-P-10191,5,2025 Season Database - 2025 Birmingham Major.csv
268782dada05553328229910c794dd98,20250117-152652-2025-Birmingham Major-Open 1-GSL-UQF-G2,2,2025,Birmingham Major,Open 1,GSL,UQF,MAESTROS DEL ESFERICO,TORRES8232,SSA-P-10192,5,2025 Season Database - 2025 Birmingham Major.csv
268782dada05553328229910c794dd98,20250117-152652-2025-Birmingham Major-Open 1-GSL-UQF-G2,2,2025,Birmingham Major,Open 1,GSL,UQF,MAESTROS DEL ESFERICO,VKSailen,SSA-P-10193,5,2025 Season Database - 2025 Birmingham Major.csv
268782dada05553328229910c794dd98,20250117-171923-2025-Birmingham Major-Open 1-GSL-UQF-G3,3,2025,Birmingham Major,Open 1,GSL,UQF,2 1S MAINS 1 HALDEN,Calzafy,SSA-P-10209,5,2025 Season Database - 2025 Birmingham Major.csv
268782dada05553328229910c794dd98,20250117-171923-2025-Birmingham Major-Open 1-GSL-UQF-G3,3,2025,Birmingham Major,Open 1,GSL,UQF,2 1S MAINS 1 HALDEN,Halden,SSA-P-10214,5,2025 Season Database - 2025 Birmingham Major.csv
268782dada05553328229910c794dd98,20250117-171923-2025-Birmingham Major-Open 1-GSL-UQF-G3,3,2025,Birmingham Major,Open 1,GSL,UQF,2 1S MAINS 1 HALDEN,Khiernan,SSA-P-10218,5,2025 Season Database - 2025 Birmingham Major.csv
268782dada05553328229910c794dd98,20250117-171923-2025-Birmingham Major-Open 1-GSL-UQF-G3,3,2025,Birmingham Major,Open 1,GSL,UQF,MAESTROS DEL ESFERICO,Leoro,SSA-P-10191,5,2025 Season Database - 2025 Birmingham Major.csv
268782dada05553328229910c794dd98,20250117-171923-2025-Birmingham Major-Open 1-GSL-UQF-G3,3,2025,Birmingham Major,Open 1,GSL,UQF,MAESTROS DEL ESFERICO,TORRES8232,SSA-P-10192,5,2025 Season Database - 2025 Birmingham Major.csv
268782dada05553328229910c794dd98,20250117-171923-2025-Birmingham Major-Open 1-GSL-UQF-G3,3,2025,Birmingham Major,Open 1,GSL,UQF,MAESTROS DEL ESFERICO,VKSailen,SSA-P-10193,5,2025 Season Database - 2025 Birmingham Major.csv
28e2cf7852d2c03f3f8b1c071ec0d540,20230210-175036-2022-23-Winter-Cup-Groups-2-G1,1,2022-23,Winter,Cup,Groups,2,ORLANDO PIRATES,EliakimZA,SSA-P-10019,5,2022-23 Season Database - 22-23 Season.csv
28e2cf7852d2c03f3f8b1c071ec0d540,20230210-175036-2022-23-Winter-Cup-Groups-2-G1,1,2022-23,Winter,Cup,Groups,2,ORLANDO PIRATES,Happymeal,SSA-P-10025,5,2022-23 Season Database - 22-23 Season.csv
28e2cf7852d2c03f3f8b1c071ec0d540,20230210-175036-2022-23-Winter-Cup-Groups-2-G1,1,2022-23,Winter,Cup,Groups,2,ORLANDO PIRATES,kamz,SSA-P-10031,5,2022-23 Season Database - 22-23 Season.csv
28e2cf7852d2c03f3f8b1c071ec0d540,20230210-175036-2022-23-Winter-Cup-Groups-2-G1,1,2022-23,Winter,Cup,Groups,2,TEAM FUSION,5bs.,SSA-P-10067,5,2022-23 Season Database - 22-23 Season.csv
28e2cf7852d2c03f3f8b1c071ec0d540,20230210-175036-2022-23-Winter-Cup-Groups-2-G1,1,2022-23,Winter,Cup,Groups,2,TEAM FUSION,boy974s,SSA-P-10068,5,2022-23 Season Database - 22-23 Season.csv
28e2cf7852d2c03f3f8b1c071ec0d540,20230210-175036-2022-23-Winter-Cup-Groups-2-G1,1,2022-23,Winter,Cup,Groups,2,TEAM FUSION,D3Funct,SSA-P-10013,5,2022-23 Season Database - 22-23 Season.csv
28e2cf7852d2c03f3f8b1c071ec0d540,20230210-180535-2022-23-Winter-Cup-Groups-2-G2,2,2022-23,Winter,Cup,Groups,2,ORLANDO PIRATES,EliakimZA,SSA-P-10019,5,2022-23 Season Database - 22-23 Season.csv
28e2cf7852d2c03f3f8b1c071ec0d540,20230210-180535-2022-23-Winter-Cup-Groups-2-G2,2,2022-23,Winter,Cup,Groups,2,ORLANDO PIRATES,Happymeal,SSA-P-10025,5,2022-23 Season Database - 22-23 Season.csv
28e2cf7852d2c03f3f8b1c071ec0d540,20230210-180535-2022-23-Winter-Cup-Groups-2-G2,2,2022-23,Winter,Cup,Groups,2,ORLANDO PIRATES,kamz,SSA-P-10031,5,2022-23 Season Database - 22-23 Season.csv
28e2cf7852d2c03f3f8b1c071ec0d540,20230210-180535-2022-23-Winter-Cup-Groups-2-G2,2,2022-23,Winter,Cup,Groups,2,TEAM FUSION,5bs.,SSA-P-10067,5,2022-23 Season Database - 22-23 Season.csv
28e2cf7852d2c03f3f8b1c071ec0d540,20230210-180535-2022-23-Winter-Cup-Groups-2-G2,2,2022-23,Winter,Cup,Groups,2,TEAM FUSION,boy974s,SSA-P-10068,5,2022-23 Season Database - 22-23 Season.csv
28e2cf7852d2c03f3f8b1c071ec0d540,20230210-180535-2022-23-Winter-Cup-Groups-2-G2,2,2022-23,Winter,Cup,Groups,2,TEAM FUSION,D3Funct,SSA-P-10013,5,2022-23 Season Database - 22-23 Season.csv
342a80a9b6593c7b7b3e60ab00cabee8,20220122-170938-2021-22-Winter-Regional Event 1-Playoffs-LR1-G1,1,2021-22,Winter,Regional Event 1,Playoffs,LR1,AIPX GAMING,ChristianW,SSA-P-10010,5,2021-22 Season Database - 2021-22 Season (1).csv
342a80a9b6593c7b7b3e60ab00cabee8,20220122-170938-2021-22-Winter-Regional Event 1-Playoffs-LR1-G1,1,2021-22,Winter,Regional Event 1,Playoffs,LR1,AIPX GAMING,Friction,SSA-P-10022,5,2021-22 Season Database - 2021-22 Season (1).csv
342a80a9b6593c7b7b3e60ab00cabee8,20220122-170938-2021-22-Winter-Regional Event 1-Playoffs-LR1-G1,1,2021-22,Winter,Regional Event 1,Playoffs,LR1,AIPX GAMING,lackstar.,SSA-P-10034,5,2021-22 Season Database - 2021-22 Season (1).csv
342a80a9b6593c7b7b3e60ab00cabee8,20220122-170938-2021-22-Winter-Regional Event 1-Playoffs-LR1-G1,1,2021-22,Winter,Regional Event 1,Playoffs,LR1,ROYALTY ESPORTS,EliakimZA,SSA-P-10019,5,2021-22 Season Database - 2021-22 Season (1).csv
342a80a9b6593c7b7b3e60ab00cabee8,20220122-170938-2021-22-Winter-Regional Event 1-Playoffs-LR1-G1,1,2021-22,Winter,Regional Event 1,Playoffs,LR1,ROYALTY ESPORTS,Yujn.,SSA-P-10065,5,2021-22 Season Database - 2021-22 Season (1).csv
