series_id,season,split,regional,stage,round,match_date,team_a,team_b,best_of_values,match_count,game_count,row_count,source_file
2986175bf86aa019d796fcea9c6ae754,2021-22,Spring,Regional Event 1,Double Elim,LQF,2022-05-07,AIPX GAMING,DIGITAL DEVILS,"{5,7}",4,4,24,2021-22 Season Database - 21-22 Fall Split Regionals 1-3.csv
3bbdd987a7ed7ad9385e4eb49d17cc2a,2021-22,Spring,Regional Event 1,Double Elim,LQF,2022-05-07,DNMK ESPORTS,TEAM ESPIONAGE,"{5,7}",6,6,36,2021-22 Season Database - 21-22 Fall Split Regionals 1-3.csv
0173ec39042ad1c136877248f4687e80,2021-22,Spring,Regional Event 3,Double Elim,LQF,2022-06-04,ATK,DNMK ESPORTS,"{5,7}",4,4,24,2021-22 Season Database - 21-22 Fall Split Regionals 1-3.csv
082a2a17e77b43681bae2f2919602cd0,2021-22,Spring,Regional Event 3,Double Elim,LQF,2022-06-04,DIGITAL DEVILS,NIBBLE ESPORTS,"{5,7}",4,4,24,2021-22 Season Database - 21-22 Fall Split Regionals 1-3.csv
7c34ec6e8061dea8ce2ffec87397be67,2021-22,Winter,Regional Event 2,Playoffs,LR2,2022-02-05,ROYALTY ESPORTS,TEAM ESPIONAGE,"{5,7}",4,4,24,2021-22 Season Database - 21-22 Fall Split Regionals 1-3.csv
cbee2413183265f9b5ba0ad8c47099c9,2021-22,Winter,Regional Event 3,Playoffs,LQF,2022-02-26,AIPX GAMING,ROYALTY ESPORTS,"{5,7}",7,7,42,2021-22 Season Database - 21-22 Fall Split Regionals 1-3.csv
f74324356f173b9d23072fc1df9192d2,2022-23,Spring,Cup,Double Elim,LSF,2023-05-28,FRENCH CLASS,ORLANDO PIRATES,"{5,7}",4,4,24,2022-23 Season Database - 22-23 Fall Split (1).csv
